"Time,Entry Location,Entry,Enabled,Category,Profile,Description,Company,Image Path,Version,Launch String,MD5,SHA-1,PESHA-1,PESHA-256,SHA-256,IMP"
"15/8/2025 3:49 am,""HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components"",""Microsoft Edge"",enabled,""Logon"",System-wide,""Microsoft Edge Installer"",""Microsoft Corporation"",""c:\program files (x86)\microsoft\edge\application\139.0.3405.102\installer\setup.exe"",139.0.3405.102,""""""C:\Program Files (x86)\Microsoft\Edge\Application\139.0.3405.102\Installer\setup.exe"""" --configure-user-settings --verbose-logging --system-level --msedge --channel=stable"",100FE2A3B8BE202CE3594FBB84C2DE1D,0E71E5FC558D0489C64F745E60D68C635A3ACC80,1097B4E6B17BE9F25AD90D624DA512E460D93F62,A3EC6B28EAF7CA09851BAD81081D7A07D5B11689E8F85049CFF24C7654E54560,116DE9B0985A9273C5CB108A95A49561D5C4DB20DC24FDE42FDB228C6A70021F,FEAAA161935B3C215BB6530DC11DB019"
"1/8/2025 4:09 pm,HKLM\SOFTWARE\Wow6432Node\Microsoft\Active Setup\Installed Components,,,""Logon"",System-wide,,,,,,,,,,,"
"7/8/1969 2:02 pm,""HKLM\SOFTWARE\Wow6432Node\Microsoft\Active Setup\Installed Components"",""Microsoft Windows Media Player"",enabled,""Logon"",System-wide,""Microsoft Windows Media Player Legacy Setup Utility"",""Microsoft Corporation"",""c:\windows\syswow64\unregmp2.exe"",12.0.22621.1,""%SystemRoot%\system32\unregmp2.exe /ShowWMP"",3FE5850FA606CB5384FE2A45D75E3A1F,27BC87CE4692756AE5EA810B24A16FBBB1D256EF,F7AD6AC9D480053F93146C1782F875E0F3FC405F,87BDDC5D7F99C21763C5BBF2F1C6B5CD151F41837A45F88D5D2DCCECD91FF17D,4FF3EFB147C917EA9927107DA0D296012709241ACA642B134AF8AD249A45E764,08CF6BE2BDE79032587AD5BA07627D94"
"7/8/1969 2:02 pm,""HKLM\SOFTWARE\Wow6432Node\Microsoft\Active Setup\Installed Components"",""Microsoft Windows Media Player"",enabled,""Logon"",System-wide,""Microsoft Windows Media Player Legacy Setup Utility"",""Microsoft Corporation"",""c:\windows\syswow64\unregmp2.exe"",12.0.22621.1,""%SystemRoot%\system32\unregmp2.exe /FirstLogon"",3FE5850FA606CB5384FE2A45D75E3A1F,27BC87CE4692756AE5EA810B24A16FBBB1D256EF,F7AD6AC9D480053F93146C1782F875E0F3FC405F,87BDDC5D7F99C21763C5BBF2F1C6B5CD151F41837A45F88D5D2DCCECD91FF17D,4FF3EFB147C917EA9927107DA0D296012709241ACA642B134AF8AD249A45E764,08CF6BE2BDE79032587AD5BA07627D94"
"4/5/2021 12:32 pm,""HKLM\SOFTWARE\Wow6432Node\Microsoft\Active Setup\Installed Components"",""n/a"",enabled,""Logon"",System-wide,""Microsoft .NET IE SECURITY REGISTRATION"",""Microsoft Corporation"",""c:\windows\syswow64\mscories.dll"",2.0.50727.9157,""C:\Windows\SysWOW64\Rundll32.exe C:\Windows\SysWOW64\mscories.dll,Install"",672CA7A975752AA601E3BEA0D6D589BE,C7380E11949C6E720AB970557AF2A95D2D09E95F,8C0A2B730A26F334DF2D882DF375ADDBCB028F70,9E2578CCC205C840126720727A210C00F18B0B8A21C562B689D8972C6C0ABBF5,DC42B8FC1AF85390D9027F2A96D78462357916919AE12E3D2D695F58404FD492,08A027E94DD9452BDF5B6AF03B573759"
"1/8/2025 4:11 pm,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Windows\IconServiceLib,,,""Logon"",System-wide,,,,,,,,,,,"
"11/4/2016 5:09 pm,""HKLM\Software\Microsoft\Windows NT\CurrentVersion\Windows\IconServiceLib"",""IconCodecService.dll"",enabled,""Logon"",System-wide,""Converts a PNG part of the icon to a legacy bmp icon"",""Microsoft Corporation"",""c:\windows\system32\iconcodecservice.dll"",10.0.22621.1,""IconCodecService.dll"",378399508C379E43E656313E4892A4FE,E6A71FEDD77AC651AB3119CB22EF25D26F84039E,CE9C95E9E8CAF0F410CFA61EAA95201F692A9E2B,CBAC76A475AE9BC6C7F2D2DB0F41373109BD844D66EE528040FD47135CC006A5,095D4C0A31E3EF842D80C6B9B43E3EB7178B5D106DF2C842CF5CCED6A55680E4,BC4916A3897FAE424D0E5B39B694361B"
"17/4/2025 11:36 pm,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,,,""Logon"",LIGREG\glenn,,,,,,,,,,,"
"6/11/1982 11:41 pm,""HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"",""OneDrive"",enabled,""Logon"",LIGREG\glenn,""Microsoft OneDrive"",""Microsoft Corporation"",""c:\program files\microsoft onedrive\onedrive.exe"",25.140.720.1,""""""C:\Program Files\Microsoft OneDrive\OneDrive.exe"""" /background"",4F3C071BE5D5AC39C7EF33D6E602A04A,5E15D9846142E1C32E85CA1E75787F8750115D3E,F6FD3BC11F0DB4773A37510DDCD299FC12E5FAEA,7BACA85F3ED554A09B5384850DE2C0D14EF2604FA978148460BB0DB17438FA5E,38ED387B5896D68B72F3E9C90D9227DD104F91CF5C679F18114E9C956CAC65FA,DB0CAF9AF9028C56D6A1547A3B9FC816"
"21/9/2021 4:18 am,""HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"",""Discord"",enabled,""Logon"",LIGREG\glenn,""Update"",""GitHub"",""c:\users\glenn\appdata\local\discord\update.exe"",1.1.1.0,""""""C:\Users\glenn\AppData\Local\Discord\Update.exe"""" --processStart Discord.exe"",9C85D367DA76F9CBC0907E1CA41D0533,87E1536778553BF6DC5C1ACECCA8D3F96191EFCE,CE9C10B3BCC13CF815471306E07F11E39D838DFA,0D8E47413FD6C3B272ADBAB65072AEAAF5940BCCA4EECC4AF0CFB27604A0FFAE,57BC9BBDD69E414740A7826456A56EB0A5C78E28832F2EE027F48C3B3754202C,F34D5F2D4577ED6D9CEEC516C1F5A744"
